iter	RMSE
256	4.861166174
257	4.856831398
258	4.851785717
259	4.847357949
260	4.84256811
261	4.83585392
262	4.829408678
263	4.823920453
264	4.82060377
265	4.815787576
266	4.811720976
267	4.806829979
268	4.798597226
269	4.792843345
270	4.788273876
271	4.78501077
272	4.780511759
273	4.777223412
274	4.769072288
275	4.764507968
276	4.75920605
277	4.754625476
278	4.750280716
279	4.748014443
280	4.742735015
281	4.737767981
282	4.733244352
283	4.730329206
284	4.727585448
285	4.72478834
286	4.720591701
287	4.715604633
288	4.71128232
289	4.708466435
290	4.705899742
291	4.703268468
292	4.700508306
293	4.695768958
294	4.690685795
295	4.689167891
296	4.685542887
297	4.683733392
298	4.681469657
299	4.677417894
300	4.672935735
301	4.670309597
302	4.665436283
303	4.661563644
304	4.657665551
305	4.651605711
306	4.648783789
307	4.643782599
308	4.636337233
309	4.63201772
310	4.627857969
311	4.625507285
312	4.617430888
313	4.611912634
314	4.608211363
315	4.606642578
316	4.604218239
317	4.601071462
318	4.597029887
319	4.592996909
320	4.588704882
321	4.584949562
322	4.578858229
323	4.575036433
324	4.572834316
325	4.56862283
326	4.567360365
327	4.563188459
328	4.558173699
329	4.557106433
330	4.555542717
331	4.549684855
332	4.547594328
333	4.546937848
334	4.542314239
335	4.541439973
336	4.536770184
337	4.532253829
338	4.527312956
339	4.523984306
340	4.519673491
341	4.51753235
342	4.516511326
343	4.511723798
344	4.509665333
345	4.506685574
346	4.504522021
347	4.496881565
348	4.494685663
349	4.491314376
350	4.488386307
351	4.486767443
352	4.482125123
353	4.479979414
354	4.477018198
355	4.471043
356	4.463300111
357	4.458123899
358	4.455753316
359	4.451279887
360	4.447621744
361	4.444352366
362	4.443123289
363	4.440285487
364	4.432873601
365	4.425772553
366	4.417557998
367	4.416519442
368	4.414458496
369	4.407588795
370	4.406947399
371	4.40372497
372	4.400237894
373	4.398284177
374	4.395177348
375	4.388564017
376	4.387327629
377	4.385528132
378	4.38419441
379	4.38114763
380	4.378393753
381	4.373260233
382	4.368734372
383	4.36479314
384	4.36117097
385	4.359394399
386	4.353693322
387	4.353121121
388	4.351422532
389	4.345768819
390	4.343597269
391	4.337611264
392	4.335757686
393	4.332745941
394	4.328714563
395	4.325826893
396	4.324076978
397	4.317511153
398	4.311547382
399	4.308752618
400	4.305147666
401	4.301160496
402	4.297398813
403	4.296507712
404	4.292061047
405	4.287364041
406	4.280619868
407	4.277390869
408	4.273325848
409	4.268818638
410	4.261297713
411	4.25713444
412	4.254480639
413	4.25096621
414	4.249078511
415	4.241819231
416	4.238458726
417	4.232206168
418	4.228378703
419	4.225508927
420	4.220975182
421	4.215479486
422	4.213605045
423	4.209312291
424	4.204698888
425	4.20413352
426	4.198044503
427	4.192667088
428	4.189380072
429	4.185127782
430	4.184573863
431	4.17852329
432	4.17407796
433	4.170907891
434	4.168352425
435	4.165532829
436	4.161247425
437	4.15686464
438	4.153337246
439	4.149071187
440	4.142697879
441	4.139690432
442	4.137198308
443	4.135704632
444	4.134288191
445	4.129769438
446	4.125227968
447	4.124748596
448	4.122319751
449	4.117347969
450	4.114835305
451	4.112464017
452	4.111947853
453	4.11037606
454	4.10495593
455	4.099704997
456	4.096188174
457	4.095422593
458	4.091023079
459	4.087855942
460	4.083806197
461	4.077934877
462	4.075282972
463	4.07087758
464	4.068618056
465	4.067341598
466	4.064555959
467	4.061117787
468	4.057227053
469	4.053953901
470	4.052646422
471	4.050459217
472	4.045810083
473	4.044347988
474	4.042065293
475	4.037371532
476	4.036097997
477	4.034766117
478	4.028739201
479	4.023673091
480	4.019265029
481	4.016239719
482	4.014763848
483	4.007073027
484	4.005161586
485	4.003175361
486	3.997610588
487	3.992149237
488	3.988272314
489	3.98687841
490	3.983952702
491	3.981127344
492	3.978657963
493	3.974978354
494	3.968712771
495	3.96549073
496	3.962788751
497	3.961571204
498	3.959417705
499	3.957390289
500	3.955282525
501	3.952460711
502	3.951447886
503	3.949918766
504	3.946146732
505	3.944200331
506	3.941387217
507	3.93777793
508	3.934947357
509	3.932892971
510	3.928485061
511	3.924975933
512	3.923393399
513	3.922105957
514	3.917016077
515	3.91248024
516	3.908144864
517	3.906163232
518	3.902421751
519	3.900536597
520	3.89921793
521	3.895258129
522	3.890733824
523	3.885586932
524	3.883675958
525	3.879298567
526	3.87505046
527	3.871051478
528	3.865270911
529	3.864045412
530	3.860863218
531	3.859445952
532	3.855456082
533	3.851719232
534	3.85069272
535	3.847267095
536	3.842544977
537	3.840605865
538	3.835758151
539	3.829339
540	3.82593422
541	3.821661616
542	3.819848141
543	3.816658794
544	3.811622219
545	3.808055793
546	3.803144403
547	3.8021479
548	3.799076185
549	3.795808949
550	3.790641572
551	3.786085345
552	3.782381078
553	3.778200578
554	3.775425896
555	3.773225017
556	3.770652487
557	3.768844869
558	3.767235676
559	3.766399994
560	3.763658157
561	3.760267318
562	3.755880782
563	3.753006283
564	3.750932759
565	3.747174325
566	3.741706723
567	3.740835075
568	3.735480077
569	3.729445213
570	3.727549481
571	3.721245095
572	3.719677228
573	3.716533478
574	3.714260654
575	3.711873142
576	3.708297972
577	3.701745502
578	3.697490244
579	3.695387324
580	3.691854154
581	3.690205163
582	3.686677675
583	3.684212563
584	3.682047406
585	3.679612492
586	3.677974029
587	3.677305178
588	3.675210242
589	3.67362465
590	3.669604088
591	3.668096181
592	3.665071088
593	3.661984258
594	3.659742833
595	3.6561051
596	3.654771112
597	3.650819789
598	3.647482801
599	3.643133817
600	3.641349309
601	3.639798893
602	3.633183534
603	3.629999989
604	3.62753883
605	3.62391737
606	3.622155668
607	3.620380879
608	3.618492859
609	3.617086088
610	3.6110816
611	3.609345953
612	3.60683289
613	3.600602714
614	3.597035284
615	3.592838863
616	3.589992234
617	3.586552942
618	3.582238728
619	3.57951075
620	3.576189006
621	3.572972239
622	3.567780121
623	3.564454721
624	3.562251012
625	3.559806504
626	3.554976618
627	3.552293738
628	3.550668533
629	3.547536863
630	3.544509963
631	3.542680167
632	3.539086268
633	3.535532571
634	3.534174551
635	3.531555989
636	3.52899133
637	3.524150785
638	3.522538262
639	3.519885502
640	3.518892315
641	3.517143185
642	3.515843096
643	3.513096908
644	3.509711922
645	3.50645882
646	3.502650513
647	3.498718972
648	3.497819242
649	3.495957182
650	3.491124024
651	3.48688321
652	3.483732036
653	3.482301665
654	3.479085482
655	3.475697385
656	3.469702267
657	3.467226631
658	3.467023641
659	3.465854013
660	3.462882415
661	3.462419328
662	3.45913278
663	3.456826892
664	3.455165247
665	3.454751081
666	3.452011934
667	3.449974904
668	3.448208006
669	3.446027609
670	3.443740071
671	3.440811771
672	3.438866261
673	3.436126918
674	3.432539515
675	3.429872588
676	3.426205411
677	3.422944058
678	3.421143983
679	3.418495593
680	3.416599373
681	3.414023521
682	3.412630736
683	3.411810187
684	3.408361616
685	3.405212138
686	3.404027073
687	3.401087748
688	3.398240265
689	3.395330468
690	3.393346459
691	3.38985459
692	3.387930999
693	3.385208903
694	3.383769053
695	3.381845458
696	3.37997588
697	3.378972069
698	3.376367099
699	3.372610561
700	3.371493435
701	3.369201029
702	3.367218284
703	3.366339766
704	3.363760389
705	3.362008334
706	3.358889239
707	3.357841512
708	3.355443131
709	3.35197704
710	3.349833537
711	3.348273062
712	3.344033481
713	3.341259264
714	3.334528351
715	3.333177752
716	3.331872764
717	3.329776368
718	3.328277287
719	3.322858223
720	3.322015113
721	3.318386122
722	3.316462671
723	3.312509982
724	3.307320041
725	3.304098872
726	3.301330454
727	3.297334658
728	3.296253217
729	3.293907319
730	3.290988335
731	3.290010016
732	3.287298862
733	3.285018948
734	3.282866479
735	3.28245802
736	3.279812444
737	3.278462334
738	3.274765952
739	3.27328561
740	3.272236647
741	3.26917623
742	3.267315279
743	3.26381491
744	3.261976068
745	3.259757058
746	3.257179565
747	3.254424025
748	3.253716213
749	3.251923894
750	3.249977353
751	3.247463632
752	3.244700258
753	3.243940504
754	3.243005176
755	3.241555551
756	3.236861454
757	3.234063003
758	3.231074224
759	3.227864703
760	3.22590412
761	3.221609772
762	3.219258635
763	3.216337663
764	3.215851535
765	3.211003747
766	3.209127741
767	3.208235548
768	3.205537943
769	3.202454385
770	3.201713123
771	3.201312283
772	3.198909323
773	3.196918385
774	3.194000377
775	3.19237231
776	3.189729972
777	3.18838319
778	3.184982613
779	3.183504652
780	3.182113127
781	3.180943453
782	3.17790586
783	3.177496529
784	3.175036784
785	3.171342147
786	3.170148924
787	3.167324403
788	3.165620944
789	3.163192786
790	3.161409366
791	3.159099746
792	3.155347975
793	3.15184731
794	3.150374398
795	3.14968711
796	3.148044799
797	3.145702267
798	3.145290822
799	3.141921984
